dep_struct,%of_total,count
nsubj_V_dobj_dobj_ccomp,4.900939755198059e-05,4
ccomp_V_prt,4.900939755198059e-05,4
nsubj_V_dobj_dative_prep,3.675704816398544e-05,3
V_dobj_xcomp_prep,3.675704816398544e-05,3
prep_nsubj_V_ccomp_prep,3.675704816398544e-05,3
prep_nsubj_V_dobj_prt,3.675704816398544e-05,3
nsubj_prep_V_dobj_prep,3.675704816398544e-05,3
ccomp_ccomp_nsubj_V_dobj_prep,3.675704816398544e-05,3
V_prt_prep_prep_prep,3.675704816398544e-05,3
V_prt_dobj_xcomp,3.675704816398544e-05,3
V_prt_dobj_dative,3.675704816398544e-05,3
V_prt_dative,3.675704816398544e-05,3
prep_prep_nsubj_V_xcomp,3.675704816398544e-05,3
ccomp_nsubj_V_prep_prep_ccomp,3.675704816398544e-05,3
prep_nsubj_V_dobj_dobj,3.675704816398544e-05,3
ccomp_V_dobj_prt,3.675704816398544e-05,3
ccomp_V_ccomp_ccomp,3.675704816398544e-05,3
nsubj_V_dobj_prt_prep_prep,3.675704816398544e-05,3
nsubj_V_dative_dobj_dobj,3.675704816398544e-05,3
dobj_nsubj_V_prt_prep,3.675704816398544e-05,3
prep_V_dobj_xcomp,3.675704816398544e-05,3
prep_prep_nsubj_V_dobj,3.675704816398544e-05,3
dobj_nsubj_V_dobj_prep,3.675704816398544e-05,3
prep_nsubj_V_prep_xcomp,3.675704816398544e-05,3
ccomp_prep_nsubj_V_xcomp,3.675704816398544e-05,3
nsubj_V_pobj,2.4504698775990296e-05,2
ccomp_V_dobj_ccomp,2.4504698775990296e-05,2
ccomp_ccomp_ccomp_nsubj_V_ccomp,2.4504698775990296e-05,2
prep_V_dobj_prt,2.4504698775990296e-05,2
prep_V_dobj_ccomp,2.4504698775990296e-05,2
prep_V_prt_dobj,2.4504698775990296e-05,2
nsubj_ccomp_V_dobj,2.4504698775990296e-05,2
nsubj_V_dobj_xcomp_prep,2.4504698775990296e-05,2
ccomp_prep_nsubj_V,2.4504698775990296e-05,2
ccomp_nsubj_V_prep_dobj,2.4504698775990296e-05,2
nsubj_V_prep_dobj_prep,2.4504698775990296e-05,2
V_ccomp_xcomp,2.4504698775990296e-05,2
V_dobj_xcomp_dobj,2.4504698775990296e-05,2
nsubj_V_nsubj,2.4504698775990296e-05,2
ccomp_nsubj_V_prt_prep,2.4504698775990296e-05,2
nsubj_V_prep_prep_ccomp,2.4504698775990296e-05,2
prep_nsubj_nsubj_V_xcomp,2.4504698775990296e-05,2
V_dobj_prt_xcomp,2.4504698775990296e-05,2
nsubj_V_ccomp_prep_prep,2.4504698775990296e-05,2
dobj_V_prt,2.4504698775990296e-05,2
dative_nsubj_V_dobj_xcomp,2.4504698775990296e-05,2
pobj_nsubj_V_dobj,2.4504698775990296e-05,2
dative_nsubj_V_dative_dobj,2.4504698775990296e-05,2
nsubj_V_dobj_ccomp_prep,2.4504698775990296e-05,2
